新幌内駅,しんほろないえき
神明駅,しんめいえき
新弥生駅,しんやよいえき
新雄別駅,しんゆうべつえき
末広駅 ,すえひろえき
澄川駅,すみかわえき
西武テーオー前停留場,せいぶてーおーまえていりゅうじょう
政和駅,せいわえき
政和温泉駅,せいわおんせんえき
石油埠頭駅,せきゆふとうえき
瀬越駅,せごしえき
瀬棚駅,せたなえき
千軒駅,せんけんえき
仙美里駅,せんびりえき
千松仮乗降場,せんまつかりじょうこうじょう
壮瞥駅,そうべつえき
添牛内駅,そえうしないえき
大樹駅,たいきえき
大正駅,たいしょうえき
大昭仮乗降場,たいしょうかりじょうこうじょう
高島駅,たかしまえき
鷹泊駅,たかどまりえき
滝ノ下駅,たきのしたえき
種川駅,たねかわえき
達美仮乗降場,たつみかりじょうこうじょう
多度志駅,たどしえき
多和駅,たわえき
築別駅,ちくべつえき
千年町駅,ちとせまちえき
茶屋川駅,ちゃやがわえき
茶路駅,ちゃろえき
中央農試前駅,ちゅうおうのうしまえ
忠類駅,ちゅうるいえき
知来駅,ちらいえき
津別駅,つべつえき
月寒駅,つきさっぷえき
継立駅,つぎたてえき
鶴野駅,つるのえき
天塩駅,てしおえき
天塩有明駅,てしおありあけえき
天塩大沢駅,てしおおおさわえき
天塩金浦駅,てしおかなうらえき
天塩栄駅,てしおさかええき
天塩弥生駅,てしおやよいえき
鉄道工場前停留場,てつどうこうじょうまえていりゅうじょう
手宮駅,てみやえき
電力所前仮乗降場,でんりょくしょまえかりじょうこうじょう
問牧駅,といまきえき
当幌駅,とうほろえき
唐松駅,とうまつえき
東明駅,とうめいえき
十勝東和駅,とかちとうわえき
十勝三股駅,とかちみつまたえき
常盤駅,ときわえき
常盤台駅,ときわだいえき
床丹駅,とこたんえき
常呂駅,ところえき
常呂港仮乗降場,ところこうかりじょうこうじょう
土佐仮乗降場,とさかりじょうこうじょう
苫前駅,とままええき
富丘駅,とみおかえき
富岡仮乗降場,とみおかかりじょうこうじょう
豊泉駅,とよいずみえき
豊牛駅,とようしえき
豊岬駅,とよさきえき
豊城駅,とよしろえき
豊住駅,とよずみえき
豊田駅,とよたえき
豊野駅,とよのえき
豊似駅,とよにえき
豊浜仮乗降場,とよはまかりじょうこうじょう
豊平駅,とよひらえき
豊幌仮乗降場 ,とよほろかりじょうこうじょう
頓別仮乗降場,とんべつかりじょうこうしょ
中瓜幕駅,なかうりまくえき
中雨竜仮乗降場,なかうりゅうかりじょうこうじょう
中興部駅,なかおこっぺえき
中音更駅,なかおとふけえき
中川口仮乗降場,なかかわぐちかりじょうこうじょう
中札内駅,なかさつないえき
中鹿追駅,なかしかおいえき
中標津駅,なかしべつえき
中士幌駅,なかしほろえき
中渚滑駅,なかしょこつえき
中須田駅,なかすだえき
中園駅,なかぞのえき
中頓別駅,なかとんべつえき
中名寄駅,なかなよろえき
中ノ岱駅,なかのたいえき
中能取仮乗降場,なかのとろかりじょうこうじょう
中湧別駅,なかゆうべつえき
南幌駅,なんぽろえき
仁宇布駅,にうぷえき
新内駅,にいないえき
仁倉駅,にくらえき
濁川駅,にごりかわえき
西一線駅,にしいっせんえき
西歌駅,にしうたえき
西興部駅,にしおこっぺえき
錦沢駅,にしきざわえき
